Ref number,Carbon precursors,Sample name,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),C (%),O (%),N (%),Uptake (mmolg-1),DOI,Year,Title
9,Mullier,Mullier,2180.0,1.23,1.02,2.0,298.0,71.7,18.3,0.87,10.93181818,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Pendopo,Pendopo,1880.0,1.2,0.95,2.0,298.0,72.4,21.8,0.91,9.909090909,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Adaro,Adaro,2490.0,1.13,0.96,2.0,298.0,76.0,15.0,1.0,10.25,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
9,Tar,Tar,2210.0,1.28,0.97,2.0,298.0,80.8,11.3,0.99,10.27272727,https://doi.org/10.1016/j.crcon.2024.100237,2025,Pore properties and CO2 adsorption performance of activated carbon prepared from various carbonaceous materials
11,Nature wood,CA,146.0358,0.1079,0.0082,1.0,273.0,97.79,1.91,0.3,1.58,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation
11,Nature wood,CAN,257.4489,0.1203,0.0964,1.0,273.0,93.51,2.61,3.88,2.16,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation
11,Nature wood,KCAN,632.6149,0.3067,0.156,1.0,273.0,86.64,10.35,3.01,3.31,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation
11,Nature wood,KCANT,522.9651,0.2445,0.1045,1.0,273.0,84.84,7.67,7.49,4.14,https://doi.org/10.1016/j.fuel.2025.136520,2026,Amine modified porous carbon aerogel templated by the natural structure of wood for CO2 capture and selective separation
12,sludge,1,239.0,0.384,0.132,1.0,298.0,,,,1.477272727,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
12,sludge,2,290.0,0.32,0.158,1.0,298.0,,,,1.590909091,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
